,iphone,attack,cid,curvature,anisotropy,linearity,planarity,sphericity,time
0,iPhone11,Display-Attack,bona,"(0.01, 0.0)","(0.99, 0.01)","(0.41, 0.01)","(0.58, 0.01)","(0.01, 0.01)","(1.46, 0.57)"
1,iPhone11,Print-Attack,bona,"(0.01, 0.0)","(0.99, 0.01)","(0.41, 0.01)","(0.58, 0.01)","(0.01, 0.01)","(1.45, 0.56)"
2,iPhone12,Display-Attack,bona,"(0.01, 0.0)","(0.99, 0.01)","(0.41, 0.01)","(0.58, 0.01)","(0.01, 0.01)","(1.44, 0.57)"
3,iPhone12,Print-Attack,bona,"(0.01, 0.0)","(0.99, 0.01)","(0.41, 0.01)","(0.58, 0.01)","(0.01, 0.01)","(1.45, 0.56)"
